"filename", "language", "pip requirements", "Shell Script", "Python", "Batch", "JavaScript", "CSS", "JSON", "Ini", "Ignore", "comment", "blank", "total"
"c:\Users\Administrator\open-webui\backend\.dockerignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 1, 14
"c:\Users\Administrator\open-webui\backend\dev.sh", "Shell Script", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\Administrator\open-webui\backend\open_webui\__init__.py", "Python", 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 19, 97
"c:\Users\Administrator\open-webui\backend\open_webui\alembic.ini", "Ini", 0, 0, 0, 0, 0, 0, 0, 90, 0, 0, 25, 115
"c:\Users\Administrator\open-webui\backend\open_webui\config.py", "Python", 0, 0, 1879, 0, 0, 0, 0, 0, 0, 116, 442, 2437
"c:\Users\Administrator\open-webui\backend\open_webui\constants.py", "Python", 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 27, 120
"c:\Users\Administrator\open-webui\backend\open_webui\env.py", "Python", 0, 0, 271, 0, 0, 0, 0, 0, 0, 60, 113, 444
"c:\Users\Administrator\open-webui\backend\open_webui\functions.py", "Python", 0, 0, 253, 0, 0, 0, 0, 0, 0, 6, 61, 320
"c:\Users\Administrator\open-webui\backend\open_webui\internal\db.py", "Python", 0, 0, 87, 0, 0, 0, 0, 0, 0, 6, 24, 117
"c:\Users\Administrator\open-webui\backend\open_webui\internal\migrations\001_initial_schema.py", "Python", 0, 0, 194, 0, 0, 0, 0, 0, 0, 5, 56, 255
"c:\Users\Administrator\open-webui\backend\open_webui\internal\migrations\002_add_local_sharing.py", "Python", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 15, 49
"c:\Users\Administrator\open-webui\backend\open_webui\internal\migrations\003_add_auth_api_key.py", "Python", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 15, 49
"c:\Users\Administrator\open-webui\backend\open_webui\internal\migrations\004_add_archived.py", "Python", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 15, 47
"c:\Users\Administrator\open-webui\backend\open_webui\internal\migrations\005_add_updated_at.py", "Python", 0, 0, 78, 0, 0, 0, 0, 0, 0, 18, 35, 131
"c:\Users\Administrator\open-webui\backend\open_webui\internal\migrations\006_migrate_timestamps_and_charfields.py", "Python", 0, 0, 113, 0, 0, 0, 0, 0, 0, 3, 15, 131
"c:\Users\Administrator\open-webui\backend\open_webui\internal\migrations\007_add_user_last_active_at.py", "Python", 0, 0, 50, 0, 0, 0, 0, 0, 0, 9, 21, 80
"c:\Users\Administrator\open-webui\backend\open_webui\internal\migrations\008_add_memory.py", "Python", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 15, 54
"c:\Users\Administrator\open-webui\backend\open_webui\internal\migrations\009_add_models.py", "Python", 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 19, 62
"c:\Users\Administrator\open-webui\backend\open_webui\internal\migrations\010_migrate_modelfiles_to_models.py", "Python", 0, 0, 95, 0, 0, 0, 0, 0, 0, 6, 30, 131
"c:\Users\Administrator\open-webui\backend\open_webui\internal\migrations\011_add_user_settings.py", "Python", 0, 0, 32, 0, 0, 0, 0, 0, 0, 2, 15, 49
"c:\Users\Administrator\open-webui\backend\open_webui\internal\migrations\012_add_tools.py", "Python", 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 19, 62
"c:\Users\Administrator\open-webui\backend\open_webui\internal\migrations\013_add_user_info.py", "Python", 0, 0, 32, 0, 0, 0, 0, 0, 0, 2, 15, 49
"c:\Users\Administrator\open-webui\backend\open_webui\internal\migrations\014_add_files.py", "Python", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 16, 56
"c:\Users\Administrator\open-webui\backend\open_webui\internal\migrations\015_add_functions.py", "Python", 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 19, 62
"c:\Users\Administrator\open-webui\backend\open_webui\internal\migrations\016_add_valves_and_is_active.py", "Python", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 15, 51
"c:\Users\Administrator\open-webui\backend\open_webui\internal\migrations\017_add_user_oauth_sub.py", "Python", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 11, 46
"c:\Users\Administrator\open-webui\backend\open_webui\internal\migrations\018_add_function_is_global.py", "Python", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 15, 50
"c:\Users\Administrator\open-webui\backend\open_webui\internal\wrappers.py", "Python", 0, 0, 45, 0, 0, 0, 0, 0, 0, 6, 16, 67
"c:\Users\Administrator\open-webui\backend\open_webui\main.py", "Python", 0, 0, 1061, 0, 0, 0, 0, 0, 0, 97, 227, 1385
"c:\Users\Administrator\open-webui\backend\open_webui\migrations\env.py", "Python", 0, 0, 48, 0, 0, 0, 0, 0, 0, 12, 22, 82
"c:\Users\Administrator\open-webui\backend\open_webui\migrations\util.py", "Python", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 6, 16
"c:\Users\Administrator\open-webui\backend\open_webui\migrations\versions\1af9b942657b_migrate_tags.py", "Python", 0, 0, 103, 0, 0, 0, 0, 0, 0, 20, 29, 152
"c:\Users\Administrator\open-webui\backend\open_webui\migrations\versions\242a2047eae0_update_chat_table.py", "Python", 0, 0, 73, 0, 0, 0, 0, 0, 0, 11, 24, 108
"c:\Users\Administrator\open-webui\backend\open_webui\migrations\versions\3781e22d8b01_update_message_table.py", "Python", 0, 0, 56, 0, 0, 0, 0, 0, 0, 3, 12, 71
"c:\Users\Administrator\open-webui\backend\open_webui\migrations\versions\3ab32c4b8f59_update_tags.py", "Python", 0, 0, 54, 0, 0, 0, 0, 0, 0, 8, 20, 82
"c:\Users\Administrator\open-webui\backend\open_webui\migrations\versions\4ace53fd72c8_update_folder_table_datetime.py", "Python", 0, 0, 52, 0, 0, 0, 0, 0, 0, 5, 11, 68
"c:\Users\Administrator\open-webui\backend\open_webui\migrations\versions\57c599a3cb57_add_channel_table.py", "Python", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 11, 49
"c:\Users\Administrator\open-webui\backend\open_webui\migrations\versions\6a39f3d8e55c_add_knowledge_table.py", "Python", 0, 0, 64, 0, 0, 0, 0, 0, 0, 4, 13, 81
"c:\Users\Administrator\open-webui\backend\open_webui\migrations\versions\7826ab40b532_update_file_table.py", "Python", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 9, 27
"c:\Users\Administrator\open-webui\backend\open_webui\migrations\versions\7e5b5dc7342b_init.py", "Python", 0, 0, 177, 0, 0, 0, 0, 0, 0, 5, 23, 205
"c:\Users\Administrator\open-webui\backend\open_webui\migrations\versions\922e7a387820_add_group_table.py", "Python", 0, 0, 57, 0, 0, 0, 0, 0, 0, 10, 19, 86
"c:\Users\Administrator\open-webui\backend\open_webui\migrations\versions\af906e964978_add_feedback_table.py", "Python", 0, 0, 40, 0, 0, 0, 0, 0, 0, 3, 9, 52
"c:\Users\Administrator\open-webui\backend\open_webui\migrations\versions\c0fbf31ca0db_update_file_table.py", "Python", 0, 0, 20, 0, 0, 0, 0, 0, 0, 3, 10, 33
