"filename", "language", "CSS", "Svelte", "TypeScript", "JSON", "JavaScript", "HTML", "pip requirements", "Shell Script", "Python", "Batch", "Ini", "Ignore", "comment", "blank", "total"
"c:\Users\Administrator\open-webui\backend\.dockerignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -13, 0, -1, -14
"c:\Users\Administrator\open-webui\backend\dev.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, -2, 0, 0, 0, 0, 0, 0, -2
"c:\Users\Administrator\open-webui\backend\open_webui\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -78, 0, 0, 0, 0, -19, -97
"c:\Users\Administrator\open-webui\backend\open_webui\alembic.ini", "Ini", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -90, 0, 0, -25, -115
"c:\Users\Administrator\open-webui\backend\open_webui\config.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -1879, 0, 0, 0, -116, -442, -2437
"c:\Users\Administrator\open-webui\backend\open_webui\constants.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -93, 0, 0, 0, 0, -27, -120
"c:\Users\Administrator\open-webui\backend\open_webui\env.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -271, 0, 0, 0, -60, -113, -444
"c:\Users\Administrator\open-webui\backend\open_webui\functions.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -253, 0, 0, 0, -6, -61, -320
"c:\Users\Administrator\open-webui\backend\open_webui\internal\db.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -87, 0, 0, 0, -6, -24, -117
"c:\Users\Administrator\open-webui\backend\open_webui\internal\migrations\001_initial_schema.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -194, 0, 0, 0, -5, -56, -255
"c:\Users\Administrator\open-webui\backend\open_webui\internal\migrations\002_add_local_sharing.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -34, 0, 0, 0, 0, -15, -49
"c:\Users\Administrator\open-webui\backend\open_webui\internal\migrations\003_add_auth_api_key.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -34, 0, 0, 0, 0, -15, -49
"c:\Users\Administrator\open-webui\backend\open_webui\internal\migrations\004_add_archived.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -32, 0, 0, 0, 0, -15, -47
"c:\Users\Administrator\open-webui\backend\open_webui\internal\migrations\005_add_updated_at.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -78, 0, 0, 0, -18, -35, -131
"c:\Users\Administrator\open-webui\backend\open_webui\internal\migrations\006_migrate_timestamps_and_charfields.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -113, 0, 0, 0, -3, -15, -131
"c:\Users\Administrator\open-webui\backend\open_webui\internal\migrations\007_add_user_last_active_at.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -50, 0, 0, 0, -9, -21, -80
"c:\Users\Administrator\open-webui\backend\open_webui\internal\migrations\008_add_memory.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -39, 0, 0, 0, 0, -15, -54
"c:\Users\Administrator\open-webui\backend\open_webui\internal\migrations\009_add_models.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -43, 0, 0, 0, 0, -19, -62
"c:\Users\Administrator\open-webui\backend\open_webui\internal\migrations\010_migrate_modelfiles_to_models.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -95, 0, 0, 0, -6, -30, -131
"c:\Users\Administrator\open-webui\backend\open_webui\internal\migrations\011_add_user_settings.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -32, 0, 0, 0, -2, -15, -49
"c:\Users\Administrator\open-webui\backend\open_webui\internal\migrations\012_add_tools.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -43, 0, 0, 0, 0, -19, -62
