Date : 2025-03-03 12:41:44
Directory : c:\Users\Administrator\open-webui\src
Total : 428 files,  123270 codes, 866 comments, 8358 blanks, all 132494 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |         53 |     64,713 |          0 |         53 |     64,766 |
| Svelte     |        326 |     47,296 |        497 |      6,436 |     54,229 |
| TypeScript |         43 |     10,429 |        271 |      1,720 |     12,420 |
| CSS        |          2 |        328 |         15 |         78 |        421 |
| JavaScript |          3 |        305 |         80 |         37 |        422 |
| HTML       |          1 |        199 |          3 |         34 |        236 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                              | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                 |        428 |    123,270 |        866 |      8,358 |    132,494 |
| . (Files)                                                                                                         |          4 |        532 |         24 |        114 |        670 |
| lib                                                                                                               |        384 |    120,269 |        819 |      7,813 |    128,901 |
| lib (Files)                                                                                                       |          5 |      7,150 |          7 |         15 |      7,172 |
| lib\apis                                                                                                          |         23 |      7,977 |         44 |      1,262 |      9,283 |
| lib\apis (Files)                                                                                                  |          1 |      1,077 |         20 |        170 |      1,267 |
| lib\apis\audio                                                                                                    |          1 |        164 |          0 |         30 |        194 |
| lib\apis\auths                                                                                                    |          1 |        603 |          0 |         92 |        695 |
| lib\apis\channels                                                                                                 |          1 |        392 |          0 |         51 |        443 |
| lib\apis\chats                                                                                                    |          1 |        908 |          0 |        147 |      1,055 |
| lib\apis\configs                                                                                                  |          1 |        273 |          0 |         45 |        318 |
| lib\apis\evaluations                                                                                              |          1 |        214 |          0 |         33 |        247 |
| lib\apis\files                                                                                                    |          1 |        210 |          0 |         34 |        244 |
| lib\apis\folders                                                                                                  |          1 |        236 |          0 |         34 |        270 |
| lib\apis\functions                                                                                                |          1 |        388 |          0 |         68 |        456 |
| lib\apis\groups                                                                                                   |          1 |        139 |          0 |         24 |        163 |
| lib\apis\images                                                                                                   |          1 |        204 |          0 |         29 |        233 |
| lib\apis\knowledge                                                                                                |          1 |        299 |          0 |         49 |        348 |
| lib\apis\memories                                                                                                 |          1 |        160 |          0 |         27 |        187 |
| lib\apis\models                                                                                                   |          1 |        224 |          0 |         42 |        266 |
| lib\apis\ollama                                                                                                   |          1 |        457 |         12 |         73 |        542 |
| lib\apis\openai                                                                                                   |          1 |        371 |          0 |         52 |        423 |
| lib\apis\prompts                                                                                                  |          1 |        175 |          0 |         30 |        205 |
| lib\apis\retrieval                                                                                                |          1 |        498 |          0 |         79 |        577 |
| lib\apis\streaming                                                                                                |          1 |        116 |         12 |         15 |        143 |
| lib\apis\tools                                                                                                    |          1 |        361 |          0 |         62 |        423 |
| lib\apis\users                                                                                                    |          1 |        316 |          0 |         50 |        366 |
| lib\apis\utils                                                                                                    |          1 |        192 |          0 |         26 |        218 |
| lib\components                                                                                                    |        288 |     45,031 |        553 |      6,039 |     51,623 |
| lib\components (Files)                                                                                            |          5 |        568 |          1 |         84 |        653 |
| lib\components\admin                                                                                              |         42 |     11,642 |        209 |      1,489 |     13,340 |
| lib\components\admin (Files)                                                                                      |          4 |      1,098 |          5 |        114 |      1,217 |
| lib\components\admin\Evaluations                                                                                  |          3 |        644 |          1 |        103 |        748 |
| lib\components\admin\Functions                                                                                    |          2 |        482 |          0 |         89 |        571 |
| lib\components\admin\Settings                                                                                     |         22 |      7,442 |         30 |        903 |      8,375 |
| lib\components\admin\Settings (Files)                                                                             |         12 |      5,389 |         20 |        635 |      6,044 |
| lib\components\admin\Settings\Connections                                                                         |          3 |        218 |          0 |         29 |        247 |
| lib\components\admin\Settings\Evaluations                                                                         |          2 |        435 |          0 |         61 |        496 |
| lib\components\admin\Settings\Models                                                                              |          5 |      1,400 |         10 |        178 |      1,588 |
| lib\components\admin\Settings\Models (Files)                                                                      |          3 |        425 |         10 |         63 |        498 |
| lib\components\admin\Settings\Models\Manage                                                                       |          2 |        975 |          0 |        115 |      1,090 |
| lib\components\admin\Users                                                                                        |         11 |      1,976 |        173 |        280 |      2,429 |
| lib\components\admin\Users (Files)                                                                                |          2 |        621 |          0 |         80 |        701 |
| lib\components\admin\Users\Groups                                                                                 |          6 |        729 |        168 |        117 |      1,014 |
| lib\components\admin\Users\UserList                                                                               |          3 |        626 |          5 |         83 |        714 |
| lib\components\app                                                                                                |          1 |         53 |          5 |          8 |         66 |
| lib\components\channel                                                                                            |          9 |      1,824 |          5 |        238 |      2,067 |
| lib\components\channel (Files)                                                                                    |          5 |      1,211 |          0 |        181 |      1,392 |
| lib\components\channel\MessageInput                                                                               |          1 |         66 |          0 |         12 |         78 |
| lib\components\channel\Messages                                                                                   |          3 |        547 |          5 |         45 |        597 |
| lib\components\channel\Messages (Files)                                                                           |          1 |        313 |          2 |         29 |        344 |
| lib\components\channel\Messages\Message                                                                           |          2 |        234 |          3 |         16 |        253 |
| lib\components\chat                                                                                               |         66 |     17,838 |        137 |      2,345 |     20,320 |
| lib\components\chat (Files)                                                                                       |         16 |      6,085 |          4 |        837 |      6,926 |
| lib\components\chat\ContentRenderer                                                                               |          1 |        298 |          0 |         42 |        340 |
| lib\components\chat\Controls                                                                                      |          2 |        269 |          0 |         45 |        314 |
| lib\components\chat\MessageInput                                                                                  |          9 |      2,291 |         43 |        355 |      2,689 |
| lib\components\chat\MessageInput (Files)                                                                          |          5 |      1,729 |          2 |        269 |      2,000 |
| lib\components\chat\MessageInput\CallOverlay                                                                      |          1 |         45 |          0 |          7 |         52 |
